Number	1		2		3		4		5		6		7		8		9		10	
	Day 23	Moderately high income	Day 23	Moderately high income	Day 23	Moderately high income	Day 23	Moderately high income	Day 23	Moderately high income	Day 23	Moderately high income	Day 23	Moderately high income	Day 23	Moderately high income	Day 23	Moderately high income	Day 23	Moderately high income
	Day 24	Moderately high income	Day 24	Moderately high income	Day 24	Moderately high income	Day 24	Moderately high income	Day 24	Moderately high income	Day 24	Moderately high income	Day 24	Moderately high income	Day 24	Moderately high income	Day 24	Moderately high income	Day 24	Moderately high income
	Day 25	Not enough info	Day 25	Moderately high income	Day 25	Not enough info	Day 25	Not enough info	Day 25	Moderately high income	Day 25	Moderately high income	Day 25	Moderately high income	Day 25	Moderately high income	Day 25	Moderately high income	Day 25	Moderately high income
	Day 26	High income	Day 26	Moderately high income	Day 26	Not enough info	Day 26	Not enough info	Day 26	Moderately high income	Day 26	Moderately high income	Day 26	Moderately high income	Day 26	Moderately high income	Day 26	Moderately high income	Day 26	Moderately high income
	Day 27	High income	Day 27	Moderately high income	Day 27	Not enough info	Day 27	Not enough info	Day 27	Moderately high income	Day 27	Moderately high income	Day 27	Moderately high income	Day 27	Moderately high income	Day 27	Moderately high income	Day 27	Moderately high income
	Day 28	High income	Day 28	Moderately high income	Day 28	Not enough info	Day 28	Not enough info	Day 28	Moderately high income	Day 28	Moderately high income	Day 28	Moderately high income	Day 28	Moderately high income	Day 28	Moderately high income	Day 28	Moderately high income
	Day 29	High income	Day 29	Moderately high income	Day 29	Not enough info	Day 29	Not enough info	Day 29	Moderately high income	Day 29	Moderately high income	Day 29	Moderately high income	Day 29	Moderately high income	Day 29	Moderately high income	Day 29	Moderately high income
	Day 30	Moderately high income	Day 30	Moderately high income	Day 30	Not enough info	Day 30	Not enough info	Day 30	Moderately high income	Day 30	Not enough info	Day 30	Not enough info	Day 30	Not enough info	Day 30	Not enough info	Day 30	Not enough info
	Day 31	Moderately high income	Day 31	Moderately high income	Day 31	Not enough info	Day 31	Not enough info	Day 31	Moderately high income	Day 31	Not enough info	Day 31	Not enough info	Day 31	Not enough info	Day 31	Not enough info	Day 31	Not enough info
	Day 32	Moderately high income	Day 32	Moderately high income	Day 32	High income	Day 32	High income	Day 32	Moderately high income	Day 32	Not enough info	Day 32	Not enough info	Day 32	Not enough info	Day 32	Not enough info	Day 32	Not enough info
	Day 33	Moderately high income	Day 33	Moderately high income	Day 33	High income	Day 33	High income	Day 33	Moderately high income	Day 33	Not enough info	Day 33	Not enough info	Day 33	Not enough info	Day 33	Not enough info	Day 33	Not enough info
	Day 34	Moderately high income	Day 34	Moderately high income	Day 34	High income	Day 34	High income	Day 34	Moderately high income	Day 34	Not enough info	Day 34	Not enough info	Day 34	Not enough info	Day 34	Not enough info	Day 34	Not enough info
	Day 35	Moderately high income	Day 35	Moderately high income	Day 35	High income	Day 35	High income	Day 35	Moderately high income	Day 35	Not enough info	Day 35	Not enough info	Day 35	Not enough info	Day 35	Not enough info	Day 35	Not enough info
	Day 36	Moderately high income	Day 36	Moderately high income	Day 36	High income	Day 36	High income	Day 36	Moderately high income	Day 36	Not enough info	Day 36	Not enough info	Day 36	Not enough info	Day 36	Not enough info	Day 36	Not enough info
	Day 37	Moderately high income	Day 37	Moderately high income	Day 37	High income	Day 37	Moderately high income	Day 37	Moderately high income	Day 37	Not enough info	Day 37	Not enough info	Day 37	Not enough info	Day 37	Not enough info	Day 37	Not enough info
	Day 38	Moderately high income	Day 38	Moderately high income	Day 38	High income	Day 38	Moderately high income	Day 38	Moderately high income	Day 38	Not enough info	Day 38	Not enough info	Day 38	Not enough info	Day 38	Not enough info	Day 38	Not enough info
	Day 39	Moderately high income	Day 39	Moderately high income	Day 39	High income	Day 39	Moderately high income	Day 39	Moderately high income	Day 39	Not enough info	Day 39	Not enough info	Day 39	Not enough info	Day 39	Not enough info	Day 39	Not enough info
	Day 40	Moderately high income	Day 40	Moderately high income	Day 40	High income	Day 40	Moderately high income	Day 40	Moderately high income	Day 40	Not enough info	Day 40	Not enough info	Day 40	Not enough info	Day 40	Not enough info	Day 40	Not enough info
	Day 41	Moderately high income	Day 41	Moderately high income	Day 41	High income	Day 41	Moderately high income	Day 41	Moderately high income	Day 41	Not enough info	Day 41	Not enough info	Day 41	Not enough info	Day 41	Not enough info	Day 41	Not enough info
	Day 42	Moderately high income	Day 42	Moderately high income	Day 42	High income	Day 42	Moderately high income	Day 42	Moderately high income	Day 42	Not enough info	Day 42	Not enough info	Day 42	Not enough info	Day 42	Not enough info	Day 42	Not enough info
	Day 43	Moderately high income	Day 43	Moderately high income	Day 43	High income	Day 43	Moderately high income	Day 43	Moderately high income	Day 43	Not enough info	Day 43	Not enough info	Day 43	Not enough info	Day 43	Not enough info	Day 43	Not enough info
