Number	1		2		3		4		5		6		7		8		9		10	
	Day 21	Moderately High Income 	Day 21	Moderately High Income 	Day 21	Moderately High Income 	Day 21	Moderately High Income 	Day 21	Moderately high income	Day 21	Moderately high income	Day 21	Moderately high income	Day 21	Moderately high income	Day 21	Moderately high income	Day 21	Moderately high income
	Day 22	Moderately High Income 	Day 22	Moderately High Income 	Day 22	Moderately High Income 	Day 22	Moderately High Income 	Day 22	Moderately high income	Day 22	Moderately high income	Day 22	Moderately high income	Day 22	Moderately high income	Day 22	Moderately high income	Day 22	Moderately high income
	Day 23	Moderately High Income 	Day 23	Moderately High Income 	Day 23	Moderately High Income 	Day 23	Moderately High Income 	Day 23	Moderately high income	Day 23	Moderately high income	Day 23	Moderately high income	Day 23	Moderately high income	Day 23	Moderately high income	Day 23	Moderately high income
	Day 24	Moderately High Income 	Day 24	Moderately High Income 	Day 24	Moderately High Income 	Day 24	Moderately High Income 	Day 24	Moderately high income	Day 24	Moderately high income	Day 24	Moderately high income	Day 24	Moderately high income	Day 24	Moderately high income	Day 24	Moderately high income
	Day 25	Moderately High Income 	Day 25	Moderately High Income 	Day 25	Moderately High Income 	Day 25	Moderately High Income 	Day 25	Moderately high income	Day 25	Moderately high income	Day 25	Moderately high income	Day 25	Moderately high income	Day 25	Moderately high income	Day 25	Moderately high income
	Day 26	Moderately High Income 	Day 26	Moderately High Income 	Day 26	Moderately High Income 	Day 26	Moderately High Income 	Day 26	Moderately high income	Day 26	Moderately high income	Day 26	Moderately high income	Day 26	Moderately high income	Day 26	Moderately high income	Day 26	Moderately high income
	Day 27	Moderately High Income 	Day 27	Moderately High Income 	Day 27	Moderately High Income 	Day 27	Moderately High Income 	Day 27	Moderately high income	Day 27	Moderately high income	Day 27	Moderately high income	Day 27	Moderately high income	Day 27	Moderately high income	Day 27	Moderately high income
	Day 28	Moderately High Income 	Day 28	Moderately High Income 	Day 28	Moderately High Income 	Day 28	Moderately High Income 	Day 28	Moderately high income	Day 28	Moderately high income	Day 28	Moderately high income	Day 28	Moderately high income	Day 28	Moderately high income	Day 28	Moderately high income
	Day 29	Moderately High Income 	Day 29	Moderately High Income 	Day 29	Moderately High Income 	Day 29	Moderately High Income 	Day 29	Moderately high income	Day 29	Moderately high income	Day 29	Moderately high income	Day 29	Moderately high income	Day 29	Moderately high income	Day 29	Moderately high income
	Day 30	Moderately High Income 	Day 30	Moderately High Income 	Day 30	Moderately High Income 	Day 30	Moderately High Income 	Day 30	Not enough info	Day 30	Not enough info	Day 30	Not enough info	Day 30	Not enough info	Day 30	Not enough info	Day 30	Not enough info
	Day 31	Moderately High Income 	Day 31	Moderately High Income 	Day 31	Moderately High Income 	Day 31	Moderately High Income 	Day 31	Not enough info	Day 31	Not enough info	Day 31	Not enough info	Day 31	Not enough info	Day 31	Not enough info	Day 31	Not enough info
	Day 32	Not enough info	Day 32	Not enough info	Day 32	Not enough info	Day 32	Not enough info	Day 32	Not enough info	Day 32	Not enough info	Day 32	Not enough info	Day 32	Not enough info	Day 32	Not enough info	Day 32	Not enough info
	Day 33	Not enough info	Day 33	Not enough info	Day 33	Not enough info	Day 33	Not enough info	Day 33	Not enough info	Day 33	Not enough info	Day 33	Not enough info	Day 33	Not enough info	Day 33	Not enough info	Day 33	Not enough info
	Day 34	Not enough info	Day 34	Not enough info	Day 34	Not enough info	Day 34	Not enough info	Day 34	Not enough info	Day 34	Not enough info	Day 34	Not enough info	Day 34	Not enough info	Day 34	Not enough info	Day 34	Not enough info
	Day 35	Not enough info	Day 35	Not enough info	Day 35	Not enough info	Day 35	Not enough info	Day 35	Not enough info	Day 35	Not enough info	Day 35	Not enough info	Day 35	Not enough info	Day 35	Not enough info	Day 35	Not enough info
	Day 36	Not enough info	Day 36	Not enough info	Day 36	Not enough info	Day 36	Not enough info	Day 36	Not enough info	Day 36	Not enough info	Day 36	Not enough info	Day 36	Not enough info	Day 36	Not enough info	Day 36	Not enough info
	Day 37	Not enough info	Day 37	Not enough info	Day 37	Not enough info	Day 37	Not enough info	Day 37	Not enough info	Day 37	Not enough info	Day 37	Not enough info	Day 37	Not enough info	Day 37	Not enough info	Day 37	Not enough info
	Day 38	Not enough info	Day 38	Not enough info	Day 38	Not enough info	Day 38	Not enough info	Day 38	Not enough info	Day 38	Not enough info	Day 38	Not enough info	Day 38	Not enough info	Day 38	Not enough info	Day 38	Not enough info
	Day 39	Not enough info	Day 39	Not enough info	Day 39	Not enough info	Day 39	Not enough info	Day 39	Not enough info	Day 39	Not enough info	Day 39	Not enough info	Day 39	Not enough info	Day 39	Not enough info	Day 39	Not enough info
	Day 40	Not enough info	Day 40	Not enough info	Day 40	Not enough info	Day 40	Not enough info	Day 40	Not enough info	Day 40	Not enough info	Day 40	Not enough info	Day 40	Not enough info	Day 40	Not enough info	Day 40	Not enough info
	Day 41	Not enough info	Day 41	Not enough info	Day 41	Not enough info	Day 41	Not enough info	Day 41	Not enough info	Day 41	Not enough info	Day 41	Not enough info	Day 41	Not enough info	Day 41	Not enough info	Day 41	Not enough info
	Day 42	Not enough info	Day 42	Not enough info	Day 42	Not enough info	Day 42	Not enough info	Day 42	Not enough info	Day 42	Not enough info	Day 42	Not enough info	Day 42	Not enough info	Day 42	Not enough info	Day 42	Not enough info
	Day 43	Not enough info	Day 43	Not enough info	Day 43	Not enough info	Day 43	Not enough info	Day 43	Not enough info	Day 43	Not enough info	Day 43	Not enough info	Day 43	Not enough info	Day 43	Not enough info	Day 43	Not enough info
